"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000002944.16" -3.77835176591066 6.67143566308924 -22.3575765146447 5.02792305669366e-14 8.52948326500071e-12 22.4387629607517
"ENSMUSG00000050377.9" -2.7458873036327 4.37666414603283 -22.3385554990521 5.09875461396392e-14 8.52948326500071e-12 22.3167720849964
"ENSMUSG00000030427.18" 3.12726395571728 5.08975291763268 22.3216027762875 5.16277333175661e-14 8.52948326500071e-12 22.3631577198225
"ENSMUSG00000030103.12" -2.46085472004972 7.11739468835199 -22.3002738627829 5.24452718768005e-14 8.54420887659542e-12 22.4022980854684
"ENSMUSG00000002489.17" 1.28515778924381 7.87733891477916 22.1341291127501 5.93017776926939e-14 9.52890208678493e-12 22.1709648632886
"ENSMUSG00000021322.9" 4.46372479479593 4.13778309635496 22.0167519272386 6.47131985953207e-14 1.02579164800421e-11 21.2876807382783
"ENSMUSG00000070873.6" -4.01041419006977 5.36046494825153 -21.9055604120834 7.03225102629164e-14 1.09984406051201e-11 22.0734745395173
"ENSMUSG00000042613.10" -1.2297130794188 8.70251572248216 -21.8876609158992 7.12724950311995e-14 1.10003469304733e-11 21.9287033899052
"ENSMUSG00000009376.16" 2.99910094885963 4.35640565818428 21.862057857483 7.2654979724532e-14 1.10680897684255e-11 21.852080594819
"ENSMUSG00000102418.2" -2.52764146618551 5.40577467924167 -21.7176591402918 8.10015291469865e-14 1.21813838063353e-11 21.989603816714
"ENSMUSG00000087248.9" -3.4740365259227 4.3814475764885 -21.5582770322442 9.14036289647519e-14 1.35717033893233e-11 21.5790500240899
"ENSMUSG00000022263.11" 1.33469888153908 7.30581338504938 21.504098886973 9.5253718997831e-14 1.3966576548057e-11 21.7231273511199
"ENSMUSG00000030148.16" 2.72223651640875 4.60212905094931 21.4490486157927 9.93418128178896e-14 1.41911820783669e-11 21.6348890042102
"ENSMUSG00000034641.3" -2.53923078341979 8.07750227799571 -21.4415794114866 9.99106121653738e-14 1.41911820783669e-11 21.6513500466349
"ENSMUSG00000025044.17" 2.1496948113734 6.37566621746045 21.4275130685456 1.0099116635143e-13 1.41911820783669e-11 21.750424514963
"ENSMUSG00000111792.2" -2.02820727416252 5.8284991040175 -21.4193379737924 1.01624833297768e-13 1.41911820783669e-11 21.7664820168039
"ENSMUSG00000051682.16" -2.68937715715163 8.54539232393696 -21.4007454800554 1.03081670419917e-13 1.42252705179486e-11 21.5660027862761
"ENSMUSG00000026581.15" 4.55655182191584 6.8107843981649 21.2924446810544 1.12018292163865e-13 1.52073749387956e-11 21.6682227993115
"ENSMUSG00000045671.19" -3.3454790858467 4.58264991032113 -21.2791921553974 1.13166813823451e-13 1.52073749387956e-11 21.4649387710409
"ENSMUSG00000024677.14" 1.22575700966564 8.01429598849528 21.2686682706657 1.14087723326002e-13 1.52073749387956e-11 21.5027446672485
"ENSMUSG00000034708.13" 0.912557467391261 9.16432928208296 21.1209428241968 1.27884881048357e-13 1.68549399404183e-11 21.2895504727904
"ENSMUSG00000074272.11" -1.40954996275473 9.52492814468979 -21.054641069277 1.34640816638275e-13 1.74368082897792e-11 21.2072621111722
"ENSMUSG00000019843.15" -2.35914857820519 7.16312252880568 -21.0486198958902 1.35272766783453e-13 1.74368082897792e-11 21.3952570589194
"ENSMUSG00000046207.15" 1.40449889382503 6.41249415706629 20.9953298758669 1.41004367266556e-13 1.79780568264859e-11 21.4052154364635
